id	name	side	count	grouping	image	summary	tip	source_url
001	แนวโน้มขาขึ้น	Neutral	1	เทคนิค	images/techniques/แนวโน้มขาขึ้น.png	ดูแท่งเทียน อินดิเคเตอร์ สังเกต แล้วค่อยเลือกจุดเข้า	จังหวะตัวถัดไปกดทันทีด้วย	https://drive.google.com/file/d/1AaW1oY1gby65w6BMQVSMFGCmgPKhfRXS/view?usp=sharing/
002	แนวโน้มขาลง	Neutral	1	เทคนิค	images/techniques/แนวโน้มขาลง.png	ดูแท่งเทียน อินดิเคเตอร์ สังเกต แล้วค่อยเลือกจุดเข้า	จังหวะตัวถัดไปกดทันทีด้วย	https://drive.google.com/file/d/1p6gdTm42BNIGYsJazdRJOnNurF6x8lp8/view?usp=sharing/
1	Bullish Engulfing	Bullish	2	ขาขึ้น 2 แท่ง	images/patterns/bullish-engulfing.png	แท่งเขียวกลืนแท่งแดงก่อนหน้า สัญญาณกลับตัวขึ้น	ให้เกิดหลังขาลง ถ้าวอลุ่มมากยิ่งดี	https://www.xs.com/en/blog/bullish-engulfing-candlestick/
2	Bearish Engulfing	Bearish	2	ขาลง 2 แท่ง	images/patterns/bearish-engulfing.png	แท่งแดงกลืนแท่งเขียวก่อนหน้า สัญญาณกลับตัวลง	ให้เกิดหลังขึ้นแรงจะน่าเชื่อถือ	https://www.xs.com/en/blog/bearish-engulfing-candlestick-pattern/
3	Hammer	Bullish	1	กลับตัว 1 แท่ง	images/patterns/hammer.png	แท่งเดียวหางล่างยาว ตัวเทียนเล็ก บอกแรงซื้อกลับ	รอดูแท่งถัดไปปิดเขียวค่อยยืนยัน	https://www.investopedia.com/terms/h/hammer.asp
4	Hanging Man	Bearish	1	กลับตัว 1 แท่ง	images/patterns/hanging-man.png	หน้าตาเหมือน Hammer แต่เกิดบนยอด สัญญาณลง	ใช้คู่กับแนวต้าน/โซน supply	https://www.investopedia.com/terms/h/hangingman.asp
5	Inverted Hammer	Bullish	1	กลับตัว 1 แท่ง	images/patterns/inverted-hammer.png	แท่งเดียวหางบนยาว เกิดท้ายขาลง บอกเริ่มมีแรงซื้อ	ต้องยืนยันด้วยแท่งเขียวถัดไป	https://www.investopedia.com/terms/i/invertedhammer.asp
6	Shooting Star	Bearish	1	กลับตัว 1 แท่ง	images/patterns/shooting-star.png	หางบนยาว ตัวเล็ก เกิดตอนปลายขาขึ้น แรงขายชนะ	ถ้าปริมาณมากหรือใกล้แนวต้านจะดี	https://www.investopedia.com/terms/s/shootingstar.asp
7	Piercing Pattern	Bullish	2	กลับตัว 2 แท่ง	images/patterns/piercing-pattern.png	แท่งเขียวแทงทะลุครึ่งแท่งแดงก่อนหน้า	ให้แท่งเขียวปิดเกิน 50% ของแท่งแดง	https://www.investopedia.com/terms/p/piercingpattern.asp
8	Dark Cloud Cover	Bearish	2	กลับตัว 2 แท่ง	images/patterns/dark-cloud-cover.png	แท่งแดงปิดทับเกินครึ่งแท่งเขียวก่อนหน้า สัญญาณลง	ถ้าปิดใกล้จุดเปิดแท่งเขียวยิ่งแรง	https://www.investopedia.com/terms/d/dark-cloud-cover.asp
9	Morning Star	Bullish	3	กลับตัว 3 แท่ง	images/patterns/morning-star.png	ชุด 3 แท่ง กลางเล็ก/โดจิ ปลายเป็นเขียวใหญ่ สะท้อนการกลับตัวขึ้น	ดูให้แท่งที่ 3 ปิดเหนือกลางของแท่งแรก	https://www.investopedia.com/terms/m/morningstar.asp
10	Evening Star	Bearish	3	กลับตัว 3 แท่ง	images/patterns/evening-star.png	ตรงข้าม Morning Star ใช้ดูสัญญาณกลับตัวลง	ถ้าช่องว่าง (gap) จะน่าเชื่อถือขึ้น	https://www.investopedia.com/terms/e/eveningstar.asp
11	Three White Soldiers	Bullish	3	ต่อเนื่อง 3 แท่ง	images/patterns/three-white-soldiers.png	แท่งเขียว 3 แท่งเรียงกัน เปิดใกล้ปิดแท่งก่อนหน้า แรงซื้อชัด	ใช้เป็นสัญญาณเริ่มเทรนด์ขึ้น	https://www.investopedia.com/terms/t/three_white_soldiers.asp
12	Three Black Crows	Bearish	3	ต่อเนื่อง 3 แท่ง	images/patterns/three-black-crows.png	แท่งแดง 3 แท่งเรียงกัน แรงขายชัดเจน	อย่าจับมีดหล่น ให้รอรีเทสก่อน	https://www.investopedia.com/terms/t/three_black_crows.asp
13	Bullish Harami	Bullish	2	กลับตัว 2 แท่ง	images/patterns/bullish-harami.png	แท่งเขียวเล็กอยู่ในแท่งแดงก่อนหน้า แรงขายเริ่มหมด	ยืนยันด้วยแท่งเขียวถัดไปหรือวอลุ่มเพิ่ม	https://www.investopedia.com/terms/h/harami.asp
14	Bearish Harami	Bearish	2	กลับตัว 2 แท่ง	images/patterns/bearish-harami.png	แท่งแดงเล็กอยู่ในแท่งเขียวก่อนหน้า แรงซื้อเริ่มอ่อน	ดูให้เกิดใกล้แนวต้าน	https://www.investopedia.com/terms/h/harami.asp
15	Bullish Harami Cross	Bullish	2	กลับตัว 2 แท่ง	images/patterns/bullish-harami-cross.png	ลักษณะเดียวกับ Bullish Harami แต่แท่งในเป็นโดจิ	มักจะกลับตัวได้ดีหลังลงแรง	https://www.investopedia.com/
16	Bearish Harami Cross	Bearish	2	กลับตัว 2 แท่ง	images/patterns/bearish-harami-cross.png	ลักษณะเดียวกับ Bearish Harami แต่แท่งในเป็นโดจิ	ใช้ยืนยันด้วยอินดิเคเตอร์โมเมนตัม	https://www.investopedia.com/
17	Dragonfly Doji	Neutral	1	โดจิ	images/patterns/dragonfly-doji.png	ราคาเปิด-ปิดเท่ากัน มีหางล่างยาว แรงซื้อดันกลับ	ถ้าเกิดหลังขาลงมักตีความเป็น bullish	https://www.investopedia.com/terms/d/dragonflydoji.asp
18	Gravestone Doji	Neutral	1	โดจิ	images/patterns/gravestone-doji.png	ราคาเปิด-ปิดเท่ากัน มีหางบนยาว แรงขายดันกลับ	ถ้าเกิดบนยอดมักตีความเป็น bearish	https://www.investopedia.com/terms/g/gravestonedoji.asp
19	Long-Legged Doji	Neutral	1	โดจิ	images/patterns/long-legged-doji.png	ไส้ยาวทั้งบนและล่าง ความไม่แน่นอนสูง	รอดูแท่งถัดไปยืนยันทาง	https://www.investopedia.com/terms/l/longleggeddoji.asp
20	Doji	Neutral	1	โดจิ	images/patterns/doji.png	เปิดเท่าปิด ไม่รู้จะไปทางไหน	อย่าดูเดี่ยวๆ ให้ดูบริบทแนวรับแนวต้าน	https://www.investopedia.com/terms/d/doji.asp
21	Spinning Top	Neutral	1	อื่นๆ	images/patterns/spinning-top.png	ตัวเทียนเล็ก ไส้บนล่างยาว กำลังลังเล	ดูกับวอลุ่มและโซนราคา	https://www.investopedia.com/terms/s/spinning-top.asp
22	White Marubozu	Bullish	1	มารูโบซึ	images/patterns/white-marubozu.png	แท่งเขียวทึบไม่มีไส้ แรงซื้อเต็มแท่ง	มักต่อเนื่องถ้าไม่มีแนวต้านใกล้ๆ	https://www.investopedia.com/terms/m/marubozu.asp
23	Black Marubozu	Bearish	1	มารูโบซึ	images/patterns/black-marubozu.png	แท่งแดงทึบไม่มีไส้ แรงขายเต็มแท่ง	ใช้เป็นสัญญาณเริ่มลงได้	https://www.investopedia.com/terms/m/marubozu.asp
24	Rising Three Methods	Bullish	5	ต่อเนื่อง 5 แท่ง	images/patterns/rising-three-methods.png	แท่งขึ้นใหญ่ ตามด้วยแท่งย่อเล็กๆ แล้วปิดด้วยแท่งขึ้นอีก	สัญญาณพักตัวในเทรนด์ขึ้น	https://www.investopedia.com/terms/r/rising-three-methods.asp
25	Falling Three Methods	Bearish	5	ต่อเนื่อง 5 แท่ง	images/patterns/falling-three-methods.png	ตรงข้ามกับ rising three methods ในเทรนด์ลง	ให้เทรดตามเทรนด์เดิม	https://www.investopedia.com/terms/f/falling-three-methods.asp
26	Upside Tasuki Gap	Bullish	3	ช่องว่าง	images/patterns/upside-tasuki-gap.png	เกิด gap ขึ้นและยังคงแนวโน้มขึ้น	ให้ดูว่า gap ไม่โดนปิด	https://www.investopedia.com/
27	Downside Tasuki Gap	Bearish	3	ช่องว่าง	images/patterns/downside-tasuki-gap.png	gap ลงและยังคงแนวโน้มลง	ห้ามให้แท่งหลังมาปิด gap	https://www.investopedia.com/
28	Kicking	Bullish	2	ช่องว่าง	images/patterns/kicking.png	เกิด gap ตรงข้ามสีอย่างชัดเจน บ่งบอกแรงมาก	ใช้ดูการกลับตัวรุนแรง	https://www.investopedia.com/
29	Kicking Bearish	Bearish	2	ช่องว่าง	images/patterns/kicking-bearish.png	เหมือนข้อ 28 แต่เป็นขาลง	อย่าฝืนเทรดสวน	https://www.investopedia.com/
30	Mat Hold	Bullish	5	ต่อเนื่อง	images/patterns/mat-hold.png	แพทเทิร์นต่อเนื่องในเทรนด์ขึ้น พักแล้วไปต่อ	มักใช้กับหุ้นที่ขึ้นแรง	https://www.investopedia.com/
31	Counterattack Bullish	Bullish	2	กลับตัว 2 แท่ง	images/patterns/counterattack-bullish.png	ราคาเปิดกลับมาเท่าจุดปิดก่อนหน้า แรงซื้อสวน	ใช้ใกล้แนวรับจะดี	https://www.investopedia.com/
32	Counterattack Bearish	Bearish	2	กลับตัว 2 แท่ง	images/patterns/counterattack-bearish.png	ราคาเปิดกลับมาเท่าจุดปิดแต่เป็นฝั่งขาย	ใช้ใกล้แนวต้านจะดี	https://www.investopedia.com/
33	Tweezer Bottom	Bullish	2	กลับตัว 2 แท่ง	images/patterns/tweezer-bottom.png	สองแท่งติดทำ low ใกล้กัน แรงขายเริ่มหมด	ดูร่วมกับแนวรับ	https://www.investopedia.com/
34	Tweezer Top	Bearish	2	กลับตัว 2 แท่ง	images/patterns/tweezer-top.png	สองแท่งติดทำ high ใกล้กัน แรงซื้อเริ่มหมด	ดูร่วมกับแนวต้าน	https://www.investopedia.com/
35	Window Up	Bullish	1	ช่องว่าง	images/patterns/window-up.png	ราคากระโดดขึ้นเป็นหน้าต่าง	โอกาสกลายเป็นแนวรับใหม่	https://www.investopedia.com/
36	Window Down	Bearish	1	ช่องว่าง	images/patterns/window-down.png	ราคากระโดดลงเป็นหน้าต่าง	โอกาสกลายเป็นแนวต้านใหม่	https://www.investopedia.com/
37	Stick Sandwich	Bullish	3	กลับตัว 3 แท่ง	images/patterns/stick-sandwich.png	สองแท่งแดงประกบแท่งเขียวที่ปิดราคาเท่ากัน แรงซื้อต้านอยู่	เจอบริเวณแนวรับยิ่งดี	https://www.investopedia.com/
38	Deliberation	Bearish	3	ต่อเนื่อง 3 แท่ง	images/patterns/deliberation.png	สามแท่งขึ้นแล้วแท่งสุดท้ายอ่อน บอกใกล้พัก/กลับตัว	รอดูแท่งถัดไปยืนยัน	https://www.investopedia.com/
39	Three Inside Up	Bullish	3	กลับตัว 3 แท่ง	images/patterns/three-inside-up.png	แท่งที่สอง-สามยืนยันการกลับตัวขึ้นจาก Harami	ใช้หลังจากลงชัดเจน	https://www.investopedia.com/
40	Three Inside Down	Bearish	3	กลับตัว 3 แท่ง	images/patterns/three-inside-down.png	ต่อจาก Bearish Harami แล้วมีแท่งลงยืนยัน	ใช้หลังจากขึ้นชัดเจน	https://www.investopedia.com/
41	Three Outside Up	Bullish	3	กลับตัว 3 แท่ง	images/patterns/three-outside-up.png	Engulfing แล้วตามด้วยแท่งเขียวยืนยันแรงซื้อ	เหมาะใช้เปิดฝั่ง long	https://www.investopedia.com/
42	Three Outside Down	Bearish	3	กลับตัว 3 แท่ง	images/patterns/three-outside-down.png	Bearish Engulfing แล้วตามด้วยแท่งแดงยืนยันแรงขาย	เหมาะใช้ปิดทำกำไรหรือ short	https://www.investopedia.com/
43	Abandoned Baby Bullish	Bullish	3	กลับตัว 3 แท่ง	images/patterns/abandoned-baby-bullish.png	มี gap ทิ้งโดจิไว้ตรงกลาง แล้วดันกลับขึ้น	หาไม่บ่อย แต่ค่อนข้างแรง	https://www.investopedia.com/
44	Abandoned Baby Bearish	Bearish	3	กลับตัว 3 แท่ง	images/patterns/abandoned-baby-bearish.png	เวอร์ชันกลับหัว ใช้ดูกลับตัวลง	ต้องมีช่องว่างชัดเจน	https://www.investopedia.com/
45	Doji Star Bullish	Bullish	2	กลับตัว 2 แท่ง	images/patterns/doji-star-bullish.png	แท่งแรกลง แท่งสองเป็นโดจิแยกตัว มีโอกาสกลับขึ้น	ให้แท่งถัดไปปิดเขียวเหนือโดจิ	https://www.investopedia.com/
46	Doji Star Bearish	Bearish	2	กลับตัว 2 แท่ง	images/patterns/doji-star-bearish.png	แท่งแรกขึ้น แท่งสองโดจิแยกตัว มีโอกาสลง	ให้แท่งถัดไปปิดต่ำกว่าโดจิ	https://www.investopedia.com/
47	Advance Block	Bearish	3	ต่อเนื่อง 3 แท่ง	images/patterns/advance-block.png	ดูเหมือนขึ้นแต่แท่งถัดไปอ่อนลงเรื่อยๆ แรงซื้อหมด	สังเกตไส้บนยาวขึ้น	https://www.investopedia.com/
48	Thrusting Pattern	Bearish	2	กลับตัว 2 แท่ง	images/patterns/thrusting-pattern.png	แท่งแดงยาว ตามด้วยแท่งเขียวแต่ปิดต่ำกว่ากึ่งกลาง	จัดเป็นสัญญาณลงต่อ	https://www.investopedia.com/
49	Belt Hold Bullish	Bullish	1	กลับตัว 1 แท่ง	images/patterns/belt-hold-bullish.png	แท่งเขียวเปิดต่ำแล้วไต่ขึ้นทั้งแท่ง	ถ้าเกิดท้ายขาลงน่าสนใจมาก	https://www.investopedia.com/
50	Belt Hold Bearish	Bearish	1	กลับตัว 1 แท่ง	images/patterns/belt-hold-bearish.png	แท่งแดงเปิดสูงแล้วไหลลงทั้งแท่ง	ใช้ป้องกันการไล่ราคาตอนปลายเทรนด์	https://www.investopedia.com/
51	Ladder Bottom	Bullish	5	กลับตัว 5 แท่ง	images/patterns/ladder-bottom.png	รูปแบบกลับตัวจากลงเป็นขึ้นแบบหลายแท่ง	ใช้ยืนยันกับวอลุ่ม	https://www.investopedia.com/
52	Ladder Top	Bearish	5	กลับตัว 5 แท่ง	images/patterns/ladder-top.png	รูปแบบกลับตัวจากขึ้นเป็นลงแบบหลายแท่ง	ใช้ใกล้แนวต้าน	https://www.investopedia.com/
53	Rising Window	Bullish	1	ช่องว่าง	images/patterns/rising-window.png	ช่องว่างขึ้นในเทรนด์ขึ้น	จุด gap มักกลายเป็นแนวรับ	https://www.investopedia.com/
