id,title,category,scenario,script,tip,source_url
1,Icebreaker สุภาพ,เปิดบทสนทนา,ใช้เปิดคุยกับลูกค้า/คนไม่รู้จัก,"สวัสดีครับ/ค่ะ ผมชื่อ… จาก… พอจะมีเวลาสัก 2 นาทีไหมครับ อยากเล่าไอเดียสั้นๆ ให้ฟัง","พูดสั้น ชัด ยิ้มก่อน",
2,ชมก่อนเข้าสาระ,เปิดบทสนทนา,ใช้ตอนเข้าหาหัวหน้า/ลูกค้า,"ก่อนอื่นต้องบอกเลยว่าผลงานรอบนี้ดีมากครับ เลยอยากขอเสนอต่ออีกนิด","ชมให้ตรงจุด ไม่เว่อร์",
3,ตั้งกรอบเวลาชัด,เปิดบทสนทนา,ใช้ตอนอีกฝ่ายยุ่ง,"ผมจะใช้เวลาไม่เกิน 5 นาที เล่าให้เห็นภาพก่อนครับ","บอกเวลาทำให้อีกฝ่ายยอมฟังง่าย",
4,เชื่อมโยงเรื่องเดิม,เปิดบทสนทนา,ใช้ตอน follow up ครั้งที่ 2,"ครั้งก่อนที่เราคุยกันเรื่อง… วันนี้ผมมีตัวอย่างเพิ่มมาให้ดูครับ","อ้างอิงเรื่องเก่าลดความเกร็ง",
5,ถามปลายเปิดเบาๆ,เปิดบทสนทนา,ใช้ตอนเริ่มประชุม,"วันนี้ทุกคนเป็นยังไงกันบ้างครับ อยากฟังสั้นๆ คนละนิด","คำถามปลายเปิดทำให้ห้องไม่เงียบ",
6,ยืนยันจุดประสงค์,เปิดบทสนทนา,ใช้ตอนเริ่มคอล,"วันนี้ตั้งใจมาอัปเดตความคืบหน้ากับขออนุมัติ 1 เรื่องครับ","พูดให้รู้ว่าจะคุยเรื่องอะไร",
7,เปิดด้วยปัญหาเดียวกัน,เปิดบทสนทนา,ใช้กับเพื่อนร่วมงาน,"ช่วงนี้หลายทีมติดเรื่อง timeline เหมือนกัน ผมเลยอยากมาชวนคุยทางออก","แสดงว่าเราอยู่ฝั่งเดียวกัน",
8,ตัวเลือก 2 ทาง,เปิดบทสนทนา,ใช้ตอนนัดเวลา,"สะดวกพรุ่งนี้บ่าย หรือมะรืนเช้าดีกว่าครับ","ให้เลือก 2 ตัวช่วยตัดสินใจเร็ว",
9,เอ่ยชื่ออีกฝ่าย,เปิดบทสนทนา,ใช้ทุกสถานการณ์,"พี่เอกครับ ผมมีอัปเดตสั้นๆ เรื่องโปรเจกต์ครับ","เรียกชื่อทำให้รู้สึกเป็นส่วนตัว",
10,ทวนโจทย์ก่อนพูด,เปิดบทสนทนา,ใช้ตอนเข้าหาประชุม,"เพื่อให้ตรงกัน ผมเข้าใจว่าเรามาคุยเรื่อง… ใช่ไหมครับ","ทวนโจทย์กันก่อนลดหลงทาง",
11,โครงสร้าง 3 ส่วน,นำเสนอ/ปิดการขาย,ใช้ตอนพรีเซนต์,"ผมจะเล่า 3 ส่วนครับ คือปัญหา วิธีแก้ และผลลัพธ์ที่ได้","แจ้งโครงสร้างก่อน คนฟังตามง่าย",
12,เริ่มจากปัญหาที่เจอจริง,นำเสนอ/ปิดการขาย,ใช้ตอนขายของ,"ตอนนี้หลายบริษัทเจอปัญหา… ซึ่งเรามีวิธีลดเรื่องนี้ได้","ดึงความเจ็บปวดขึ้นมาก่อนแล้วค่อยขาย",
13,เปรียบเทียบก่อน-หลัง,นำเสนอ/ปิดการขาย,ใช้ตอนขายระบบ,"ถ้ายังทำแบบเดิมใช้เวลา 3 วัน แต่ถ้าใช้ตัวนี้เหลือแค่ครึ่งวัน","ทำให้เห็นความต่างชัด",
14,เล่าจากเคสลูกค้าจริง,นำเสนอ/ปิดการขาย,ใช้ตอนพรีเซนต์ลูกค้าใหม่,"ลูกค้ากลุ่มอสังหาฯ ที่ใช้เราอยู่ เขาลดต้นทุนไปได้…","เคสจริงน่าเชื่อถือกว่า",
15,ย้ำผลลัพธ์เป็นตัวเลข,นำเสนอ/ปิดการขาย,ใช้ทุกงานขาย,"สรุปคือช่วยลดเวลาได้ประมาณ 40% ในเดือนแรก","ตัวเลขทำให้จับต้องได้",
16,ใช้ภาษาง่ายไม่เทคนิค,นำเสนอ/ปิดการขาย,ใช้กับผู้บริหาร,"พูดง่ายๆ มันคือระบบช่วยให้ทีมทำงานซ้ำๆ ไวขึ้นครับ","อย่าใช้ศัพท์ยากถ้าไม่จำเป็น",
17,ให้ดูเดโมสั้นๆ,นำเสนอ/ปิดการขาย,ใช้ตอนคุยออนไลน์,"ผมกดให้ดูเลยนะครับ แค่คลิกตรงนี้ก็…","เห็นภาพจริงตัดสินใจง่าย",
18,ถามย้ำความต้องการ,นำเสนอ/ปิดการขาย,หลังเล่าจบ,"จากที่เล่าไป ตรงกับสิ่งที่พี่มองหาอยู่ไหมครับ","ถามกลับจะได้รู้ว่าต้องเสริมอะไร",
19,เสนอแพ็กเกจทีละชั้น,นำเสนอ/ปิดการขาย,ใช้ตอนมีหลายราคา,"ตัวพื้นฐานเริ่มที่… ถ้าอยากได้รายงานเพิ่มจะเป็นแพ็กนี้ครับ","ไล่จากต่ำไปสูงคนรับได้ง่าย",
20,ปิดด้วยประโยคชวนตัดสินใจ,นำเสนอ/ปิดการขาย,ท้ายพรีเซนต์,"ถ้าโอเค เดี๋ยวผมส่งใบเสนอราคาให้วันนี้เลยนะครับ","อย่าปล่อยให้จบแบบลอยๆ",
21,ติดตามแบบช่วยเหลือ,ติดตามงาน,ใช้หลังส่งใบเสนอราคา,"เมื่อวานผมส่งใบเสนอราคาไป ไม่แน่ใจว่าพี่มีจุดไหนอยากให้ผมปรับเพิ่มไหมครับ","โทนช่วยแก้ ไม่ใช่ทวง",
22,ระบุเวลาอ้างอิง,ติดตามงาน,ใช้หลังประชุม,"ตามที่คุยกันเมื่อวันจันทร์ ผมขอตามเรื่อง…","ทำให้อีกฝ่ายนึกออก",
23,ให้ทางเลือกถัดไป,ติดตามงาน,ใช้ตอนยังไม่ได้คำตอบ,"ถ้ารอบนี้ยังไม่สะดวก เรานัดอัปเดตสั้นๆ อาทิตย์หน้าก็ได้ครับ","เปิดทางให้อีกฝ่าย",
24,ถามสาเหตุนุ่มนวล,ติดตามงาน,ใช้ตอนเงียบ,"ไม่ทราบว่าติดตรงไหนให้ผมช่วยอธิบายเพิ่มได้ไหมครับ","ถามสาเหตุแบบไม่กดดัน",
25,ส่งสรุปให้ก่อน,ติดตามงาน,ใช้กับหัวหน้า,"ผมสรุป 3 ประเด็นไว้แล้ว เดี๋ยวส่งให้ดูในอีเมลครับ","ให้เขาเห็นว่าเราทำไว้แล้ว",
26,ย้ำประโยชน์ที่เขาจะได้,ติดตามงาน,ใช้กับลูกค้า,"ถ้าอนุมัติรอบนี้ ทีมพี่จะเริ่มใช้ได้ภายในสัปดาห์นี้เลยครับ","ย้ำสิ่งที่เขาได้ ไม่ใช่สิ่งที่เราต้องการ",
27,ใช้โทนขอบคุณ,ติดตามงาน,ใช้ตอนแจ้งซ้ำ,"ขอบคุณมากที่สละเวลาครับ ผมเลยขอแจ้งอีกครั้งเรื่อง…","โทนสุภาพทำให้ตามซ้ำได้",
28,ขอช่องทางที่สะดวกกว่า,ติดตามงาน,ใช้ตอนอีกฝ่ายไม่ตอบ,"พี่สะดวกไลน์หรือโทรมากกว่าครับ จะได้อธิบายง่ายๆ","ลดแรงเสียดทานในการคุย",
29,ย้ำเดดไลน์นุ่มๆ,ติดตามงาน,ใช้ใกล้กำหนด,"เพื่อให้ทันส่งวันศุกร์ ผมขอคอนเฟิร์มวันนี้ได้ไหมครับ","บอกเหตุผลของเดดไลน์",
30,ขออนุมัติทีละขั้น,ติดตามงาน,ใช้กับองค์กรใหญ่,"งั้นรอบแรกขออนุมัติใช้งานทีมเล็กก่อน แล้วค่อยขยายครับ","ทำให้เรื่องไม่ใหญ่เกินไป",
31,รับข้อโต้แย้งก่อนตอบ,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้กับลูกค้าที่ไม่พอใจ,"เข้าใจเลยครับว่าจุดนี้ทำให้ไม่สะดวก ผมขออธิบายทางแก้ให้ฟังก่อนนะครับ","รับความรู้สึกก่อน",
32,แยกประเด็นให้ชัด,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนโดนหลายคำถาม,"เดี๋ยวผมตอบทีละประเด็นนะครับ เรื่องราคา กับเรื่องระยะเวลาก่อน","จัดลำดับให้เขาฟังง่าย",
33,เปลี่ยนจากเถียงเป็นอธิบาย,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาเข้าใจผิด,"ส่วนที่เข้าใจว่า… จริงๆ ระบบเราทำได้ครับ แต่ต้องเปิดสิทธิ์เพิ่ม","หลีกเลี่ยงการเถียงตรงๆ",
34,ใช้ข้อมูลจริงสนับสนุน,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนถูกถามราคา,"ตอนนี้ลูกค้า 3 เจ้าในอุตสาหกรรมเดียวกันใช้แพ็กนี้ครับ เพราะคุ้มสุด","อ้างอิงทำให้น่าเชื่อถือ",
35,เสนอทางเลือกต้นทุนต่ำ,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้เมื่อเขาบอกว่าแพง,"ถ้างบยังไม่ถึง อาจเริ่มจากเวอร์ชันนี้ก่อนแล้วค่อยอัปเกรดได้ครับ","ให้ทางลงที่ยังซื้อได้",
36,ยอมรับข้อจำกัดตรงๆ,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนฟีเจอร์ยังไม่มี,"ตอนนี้ยังไม่มีฟังก์ชันนั้นครับ แต่เรามีวิธีชดเชยแบบนี้…","ความซื่อสัตย์ทำให้ไว้ใจ",
37,ย้ำเป้าหมายร่วม,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้กับเพื่อนร่วมทีม,"สุดท้ายเราต้องการให้งานนี้ออกวันศุกร์เหมือนกัน ผมเลยเสนอวิธีนี้","ดึงให้อยู่ทีมเดียวกัน",
38,ขอเวลาตรวจสอบ,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนตอบไม่ได้เลย,"ขอเวลาผมเช็กข้อมูลให้ชัวร์แล้วจะกลับมาภายในบ่ายนี้ครับ","ดีกว่าตอบผิดๆ",
39,สรุปสิ่งที่อีกฝ่ายกังวล,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาพูดเยอะ,"สรุปคือกังวลเรื่องราคา กับการเทรนใช่ไหมครับ","ทำให้เขารู้ว่าเราฟังอยู่",
40,ปิดด้วยแอ็กชันเล็กๆ,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนคลี่คลายแล้ว,"งั้นผมส่งวิธีใช้งานให้ก่อน แล้วพี่ลองดู ถ้าติดตรงไหนค่อยคุยกันอีกทีครับ","ให้จบด้วยการลงมือทำ",
41,Pitch 30 วิ,นำเสนอ/ปิดการขาย,ใช้ตอนต้องพูดสั้นมาก,"เราทำแพลตฟอร์มที่ช่วยให้ทีมขายปิดดีลเร็วขึ้น 30-40% โดยไม่ต้องเพิ่มคนครับ","เตรียมไว้พูดได้ทันที",
42,Story สั้น 1 ตอน,นำเสนอ/ปิดการขาย,ใช้ตอนคุยตัวต่อตัว,"มีลูกค้าคนนึงที่เจอปัญหาแบบเดียวกับพี่เลย เขาทำแบบนี้แล้วดีขึ้น…","เรื่องเล่าจำง่าย",
43,ขอ Feedback ทันที,ติดตามงาน,ใช้ตอนส่งตัวอย่าง,"ตัวอย่างแบบนี้พอได้ไหมครับ จะได้ปรับให้ตรงเลย","ถาม early ทำให้ไม่หลงทาง",
44,ขอพูดต่อได้ไหม,เปิดบทสนทนา,ใช้ตอนอีกฝ่ายดูยุ่ง,"ผมขอเวลาอีกแป๊บได้นะครับ ประเด็นนี้สำคัญจริงๆ","ขออนุญาตก่อนจะพูดต่อ",
45,พูดแทนทีม,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนโดนตำหนิทีม,"ในส่วนนี้ผมขอรับไว้ก่อน แล้วผมจะกลับไปเคลียร์กับทีมให้ครับ","รับเรื่องแทนลดแรงปะทะ",
46,เน้นคำหลัก,นำเสนอ/ปิดการขาย,ใช้ตอนพูดบนเวที,"คำสำคัญวันนี้มี 3 คำครับ …","ช่วยให้คนจดจำ",
47,ปิดประชุมสั้นๆ,ติดตามงาน,ใช้ตอนประชุมจบ,"วันนี้ได้ 3 เรื่องคือ… เดี๋ยวผมส่งสรุปให้ก่อนเย็นนี้ครับ","ปิดประชุมอย่างมืออาชีพ",
48,ใช้เสียงขึ้นลง,เทคนิคทั่วไป,ใช้ทุกสถานการณ์,"(อ่านตามสคริปต์เดิมแต่เน้นปลายประโยคขึ้น-ลง)","ไม่ให้เสียงเรียบ",
49,พูดช้าลงเวลาเน้น,เทคนิคทั่วไป,ใช้ทุกสถานการณ์,"สิ่งที่ ‘สำคัญมากๆ’ สำหรับวันนี้คือ…","ช้าลงคนจะตั้งใจฟัง",
50,ทวนคำถามก่อนตอบ,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนโดนถามยาก,"คำถามคือถ้าใช้งานหลายสาขาจะคิดราคาอย่างไรใช่ไหมครับ…","ทวนแล้วตอบลดผิดประเด็น",
51,ใช้ชื่อองค์กรเขา,นำเสนอ/ปิดการขาย,ใช้ตอนขายองค์กร,"ถ้าใช้กับทีมของบริษัท… จะประหยัดได้ประมาณ…","ทำให้รู้ว่าเราพูดเฉพาะเขา",
52,โยนคำถามให้ห้อง,เปิดบทสนทนา,ใช้ตอนเวิร์กช็อป,"ก่อนเริ่ม อยากรู้ว่ามีใครเคยเจอเคสนี้ไหมครับ","ทำให้คนมีส่วนร่วม",
53,จบด้วยประโยคบวก,ติดตามงาน,ใช้ทุกสถานการณ์,"ขอบคุณมากครับ คิดว่าน่าจะไปต่อได้ดีเลย","ทิ้งท้ายให้บรรยากาศดี",
54,ยอมรับผิดทันที,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเราพลาดจริง,"รอบนี้เป็นความผิดพลาดของทางเราเอง ต้องขอโทษด้วยครับ เดี๋ยวผมแก้ให้เลย","ยอมรับทำให้เรื่องจบเร็ว",
55,พูดแทนมุมมองเขา,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากังวล,"ถ้าผมเป็นพี่ ผมก็คงอยากเห็นตัวอย่างก่อนเหมือนกันครับ","แสดงความเข้าใจ",
56,ถามว่าใครตัดสินใจ,ติดตามงาน,ใช้ตอนเรื่องค้าง,"เรื่องนี้ต้องเรียนใครต่อไหมครับ ผมจะได้เตรียมข้อมูลให้ถูก","หา key person ให้เจอ",
57,เสนอจัดสไลด์ให้,ติดตามงาน,ใช้กับหัวหน้า,"ถ้าต้องนำเสนอผู้บริหาร เดี๋ยวผมจัดสไลด์สั้นๆ ให้ครับ","ช่วยลดงานเขา เขาจะรีบตอบ",
58,ชวนลองใช้จริง,นำเสนอ/ปิดการขาย,ใช้ตอนระบบพร้อมแล้ว,"ถ้าพี่สะดวก เราเปิดให้ทีมทดลองสัก 7 วันก่อนได้เลยครับ","ลองจริงมักตัดสินใจง่าย",
59,ส่งตัวอย่างข้อความให้,ติดตามงาน,ใช้ตอนทำการตลาด,"เดี๋ยวผมส่งข้อความตัวอย่างไปให้ใช้อัปโพสต์ได้เลยครับ","ให้ของพร้อมใช้",
60,เปลี่ยนช่องทางพูด,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนแชทอธิบายยาก,"เรื่องนี้อธิบายทางแชทยาว เดี๋ยวผมโทรอธิบายให้สั้นๆ ดีกว่าครับ","เสียงคุมอารมณ์ได้ดีกว่า",
61,เปิดด้วยผลลัพธ์สุดท้าย,นำเสนอ/ปิดการขาย,ใช้ตอนคนฟังเวลาไม่มาก,"พูดสั้นๆ คือสิ่งนี้จะช่วยให้ทีมปิดงานได้เร็วขึ้นครับ รายละเอียดมี 3 ส่วน…","เอาของสำคัญขึ้นก่อน",
62,ให้เขาเลือกหัวข้อ,เปิดบทสนทนา,ใช้ตอนทำเทรนนิ่ง,"วันนี้มี 2 เรื่อง เลือกฟังก่อนก็ได้ครับว่าจะเริ่มเรื่องไหน","ทำให้เขารู้สึกคุมได้",
63,ถามระดับความสำคัญ,ติดตามงาน,ใช้ตอนเรื่องไม่ถูกจัดลำดับ,"เรื่องนี้อยู่ลำดับประมาณไหนครับ จะได้ประเมินเวลาได้","เคารพลำดับงานเขา",
64,บอกสิ่งที่ทำไปแล้ว,ติดตามงาน,ใช้ตอนจะขอเพิ่ม,"ตอนนี้ผมจัดข้อมูลและเทสระบบให้แล้ว เหลือแค่ให้พี่คอนเฟิร์มครับ","แสดงว่าทางเราทำส่วนของเราแล้ว",
65,พูดแบบเพื่อนร่วมทีม,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้กับเพื่อนร่วมงาน,"ถ้าทำแบบที่หัวหน้าบอก เราจะเสร็จไม่ทัน เลยอยากชวนทำแบบนี้แทน","โทนเดียวกันคุยง่าย",
66,ย้ำว่าแก้ได้,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาบ่น,"ปัญหานี้แก้ได้ครับ เดี๋ยวผมไล่ให้ทีละจุด","ให้ความหวังที่ทำได้จริง",
67,ย้ายไปคุย 1-1,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนในห้องมีหลายคน,"เดี๋ยวประเด็นนี้ผมคุยกับพี่ส่วนตัวต่อนะครับ จะได้ลงรายละเอียดได้","เลี่ยงการเถียงต่อหน้าคนเยอะ",
68,ตั้งคำถามนำ,นำเสนอ/ปิดการขาย,ใช้ตอนอยากให้เขาคิดตาม,"ถ้าลดเวลางานซ้ำๆ ได้ 30% ทีมพี่คิดว่าจะเอาเวลาไปทำอะไรต่อครับ","คำถามนำทำให้เขาอยากได้เอง",
69,อ้างอิงแนวทางบริษัทใหญ่,นำเสนอ/ปิดการขาย,ใช้ตอนขายองค์กร,"บริษัทใหญ่ๆ ตอนนี้เขาก็ใช้วิธีนี้กัน เพราะมันตรวจสอบง่าย","ทำให้แนวทางเราดูมาตรฐาน",
70,เล่า Step การเริ่ม,ติดตามงาน,ใช้ตอนอีกฝ่ายไม่เริ่มสักที,"ขั้นตอนเริ่มมี 3 ข้อครับ ผมส่งฟอร์มให้ กรอก แล้วเราติดตั้งให้เลย","ทำให้เห็นว่ามันไม่ยาก",
71,ชมทีมเขา,นำเสนอ/ปิดการขาย,ใช้ตอนพรีเซนต์,"จากที่ดูทีมพี่จัดระบบไว้ดีมาก เราเลยต่อยอดได้ง่าย","ชมหาแพลตฟอร์มร่วม",
72,ใช้คำว่า “ลอง”,นำเสนอ/ปิดการขาย,ใช้ตอนเขายังกล้าๆ กลัวๆ,"งั้นลองเริ่มจากทีมเล็กก่อนก็ได้ครับ","คำว่าลองเบากว่าคำว่าใช้",
73,ตั้งกติกาการคุย,เปิดบทสนทนา,ใช้ตอนคุยเรื่องยาก,"ประเด็นนี้อาจมีหลายมุม เดี๋ยวผมเล่าให้ฟังก่อน แล้วค่อยแลกเปลี่ยนกันนะครับ","ตั้งกรอบช่วยลดการแทรก",
74,ขอบคุณที่บอกตรงๆ,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาติแรง,"ขอบคุณมากเลยครับที่บอกตรงๆ แบบนี้ จะได้แก้ให้ตรง","รับ feedback แบบบวก",
75,ส่งเอกสารประกอบ,ติดตามงาน,ใช้กับคนละเอียด,"ผมแนบรายละเอียดทั้งหมดไว้ในลิงก์นี้แล้วครับ","ตอบโจทย์คนต้องการข้อมูลมาก",
76,จบด้วยสรุป 3 ข้อ,ทุกหมวด,ใช้ตอนใกล้จบ,"สรุปวันนี้มี 3 อย่างที่ต้องทำต่อคือ…","สรุปให้จำง่าย",
77,พูดถึงความเสี่ยงถ้าไม่ทำ,นำเสนอ/ปิดการขาย,ใช้ตอนเขาเฉยๆ,"ถ้าไม่ทำตอนนี้ อาจต้องใช้เวลาซ้ำแบบนี้ต่อไปอีกหลายเดือนครับ","กระตุ้นให้ลงมือทำ",
78,ถามว่าใครได้รับผลกระทบ,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนปัญหากว้าง,"ปัญหานี้กระทบทีมไหนมากสุดครับ จะได้แก้ให้ตรง","หาตัวผู้ได้รับผลกระทบ",
79,ส่งตัวอย่างที่ใกล้เคียง,ติดตามงาน,ใช้ตอนเขายังนึกภาพไม่ออก,"นี่คือตัวอย่างที่ลูกค้ากลุ่มเดียวกับพี่ใช้ครับ","ดูเคสใกล้ตัวเชื่อมโยงได้ง่าย",
80,พูดด้วยน้ำเสียงมั่นใจ,เทคนิคทั่วไป,ใช้ทุกสถานการณ์,"(พูดด้วยโทนมั่นใจ ไม่ลากเสียงลงห้วน)","เสียงมั่นใจก่อนเนื้อหามั่นใจ",
81,เล่าภาพใหญ่ก่อน,นำเสนอ/ปิดการขาย,ใช้ตอนเรื่องซับซ้อน,"ภาพรวมคือเราจะทำให้การอนุมัติงานเร็วขึ้น ส่วนรายละเอียดผมค่อยไล่ทีหลัง","เริ่มจากบนลงล่าง",
82,ใช้คำง่ายแทนศัพท์ต่างประเทศ,นำเสนอ/ปิดการขาย,ใช้กับผู้บริหาร,"พูดง่ายๆ มันคือระบบเก็บข้อมูลกลางครับ","ลดโอกาสคนฟังหลุด",
83,ถามซ้ำเพื่อความชัวร์,ติดตามงาน,ใช้ตอนเขาตอบสั้น,"สรุปว่าขอเลื่อนไปสัปดาห์หน้าใช่ไหมครับ ผมจะได้จดไว้ถูก","กันความเข้าใจคลาดเคลื่อน",
84,ขออนุญาตบันทึก,เปิดบทสนทนา,ใช้ตอนคุยออนไลน์,"ขออนุญาตบันทึกหน้าจอไว้ให้นะครับ เผื่อทีมพี่ดูย้อนหลัง","เพิ่มความโปร",
85,ให้เครดิตทีมเขา,ติดตามงาน,ใช้ตอนขอข้อมูลเพิ่ม,"เพราะทีมพี่เก็บข้อมูลละเอียดอยู่แล้ว ผมเลยอยากขอเพิ่มอีกชุดนึงครับ","ชมแล้วขออะไรจะง่ายขึ้น",
86,ชวนคิดเป็นตัวเงิน,นำเสนอ/ปิดการขาย,ใช้ตอนอยากให้เห็นผล,"ถ้าคิดเป็นต้นทุนต่อเดือนที่ต้องจ่ายอยู่ ตอนนี้…","เงินเป็นภาษาที่ทุกคนเข้าใจ",
87,ตั้งชื่อเทคนิคของเราเอง,นำเสนอ/ปิดการขาย,ใช้ตอนทำคอนเทนต์,"วิธีนี้เราเรียกว่า ‘3 ขั้นปิดดีล’ นะครับ","ตั้งชื่อทำให้จำได้",
88,ย้ำว่าแก้ปัญหาที่เขาพูด,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาบอกปัญหามาแล้ว,"เมื่อกี้พี่บอกว่าติดตรงคนใช้ไม่เป็น วิธีนี้จะแก้ตรงนั้นเลยครับ","แสดงว่าเราฟังจริง",
89,ปิดด้วยการนัดครั้งต่อไป,ติดตามงาน,ใช้ทุกสถานการณ์,"งั้นเรานัดอัปเดตกันพุธหน้าช่วงเช้านะครับ","อย่าปล่อยให้จบลอยๆ",
90,บอกว่าพกตัวอย่างมาด้วย,นำเสนอ/ปิดการขาย,ใช้ตอนเจอตัว,"วันนี้ผมพกตัวอย่างหน้าจอมาให้ดูด้วยครับ","ของจริงชนะคำพูด",
91,ให้เขาเล่าปัญหาก่อน,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาดูเครียด,"พี่เล่าก่อนเลยครับว่าติดตรงไหน ผมจะได้ไล่แก้ถูกจุด","ให้เขาระบายก่อน",
92,เริ่มจากสิ่งที่เห็นด้วยกัน,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนมีความเห็นต่าง,"อันนี้ผมเห็นด้วยเลยครับว่าต้องรีบ แต่ที่ผมเสนอคือ…","เห็นด้วยก่อนแล้วค่อยต่าง",
93,ย้ำว่าปรับได้,นำเสนอ/ปิดการขาย,ใช้ตอนเขากลัวว่าไม่ยืดหยุ่น,"อันนี้ปรับตามขั้นตอนทำงานของทีมพี่ได้ครับ ไม่ได้ตายตัว","ลดแรงต้าน",
94,ใช้คำถามสั้นๆ ระหว่างเล่า,นำเสนอ/ปิดการขาย,ใช้ตอนคนเริ่มเงียบ,"ถึงตรงนี้โอเคไหมครับ","ดึงเขากลับมา",
95,แจ้งข้อจำกัดเวลา,ติดตามงาน,ใช้ตอนโปรโมชันใกล้หมด,"โปรนี้หมดสิ้นเดือนนี้ ผมเลยรีบแจ้งไว้ก่อนครับ","สร้าง urgency แบบสุภาพ",
96,ชวนให้ทีมเขามานั่งด้วย,นำเสนอ/ปิดการขาย,ใช้ตอนคุยคนเดียว,"รอบหน้าถ้าพี่ให้คนที่จะใช้จริงมานั่งด้วย จะได้วัดว่ามันเหมาะไหม","รวมผู้ใช้จริงตั้งแต่แรก",
97,บอกว่าจะดูแลหลังขาย,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัวใช้ไม่เป็น,"หลังติดตั้งแล้วมีแชทซัพพอร์ตให้เลยครับ ไม่ต้องกังวล","ลดความกลัวหลังซื้อ",
98,สรุปผลตอบแทนเร็ว,นำเสนอ/ปิดการขาย,ใช้ตอนคุยผู้บริหาร,"ถ้าเริ่มเดือนนี้ คาดว่าจะเห็นผลในไตรมาสหน้า","ผู้บริหารอยากรู้ว่าเมื่อไหร่เห็นผล",
